Fecha;Canal;Hora;Programa;Espectadores;Share(%);
2019-03-22;LA1;00:42;ARA I AQUI / CAL ENDURIR LES PENES PER ALS CULPABLES D'ACCIDENTS?;29.000;0.5%;
2019-03-23;LA1;No disponemos de datos de audiencias para la fecha solicitada.;
2019-03-21;LA1;06:30;TELEDIARIO MATINAL;239.000;17.6%;
2019-03-21;LA1;08:27;LOS DESAYUNOS DE TVE / ROCIO MONASTERIO;274.000;11.3%;
2019-03-21;LA1;10:01;LA MAĂANA;234.000;7.2%;
2019-03-21;LA1;13:23;HACER DE COMER / SPAGHETTI CON FRUTTI DI MARE;320.000;5.2%;
2019-03-21;LA1;13:55;CERCA DE TI;12.000;0.1%;
2019-03-21;LA1;13:59;D.REG(INFORMATIVO TERRITORIAL 1);564.000;6.6%;
2019-03-21;LA1;13:59;INFORMATIVO TERRITORIAL 1;471.000;5.5%;
2019-03-21;LA1;13:59;L'INFORMATIU COMUNITAT VALENCIANA 1;101.000;1.2%;
2019-03-21;LA1;13:59;L'INFORMATIU MIGDIA 1;80.000;0.9%;
2019-03-21;LA1;13:59;NOTICIAS ANDALUCIA 1;69.000;0.8%;
2019-03-21;LA1;13:59;INFORMATIVO MADRID 1;67.000;0.8%;
2019-03-21;LA1;13:59;PROGRAMACION REGIONAL;53.000;0.6%;
2019-03-21;LA1;13:59;TELENORTE 1;41.000;0.5%;
2019-03-21;LA1;13:59;TELEXORNAL 1;31.000;0.4%;
2019-03-21;LA1;13:59;NOTICIAS CASTILLA-LA MANCHA 1;29.000;0.3%;
2019-03-21;LA1;13:59;NOTICIAS MURCIA 1;26.000;0.3%;
2019-03-21;LA1;13:59;NOTICIAS CASTILLA Y LEON 1;26.000;0.3%;
2019-03-21;LA1;13:59;NOTICIAS ARAGON 1;12.000;0.1%;
2019-03-21;LA1;13:59;INFORMATIU BALEAR 1;8.000;0.1%;
2019-03-21;LA1;13:59;FLASH MODA MONOGRAFICOS / PEDRO DEL HIERRO:LA FRAGILIDAD DEL MAESTRO;5.000;0.1%;
2019-03-21;LA1;13:59;PANORAMA REGIONAL 1;3.000;0%;
2019-03-21;LA1;14:32;CORAZON;930.000;8.5%;
2019-03-21;LA1;15:05;TELEDIARIO 1;1.554.000;13%;
2019-03-21;LA1;16:27;SERVIR Y PROTEGER;1.028.000;9.8%;
2019-03-21;LA1;17:26;ACACIAS 38;807.000;8.6%;
2019-03-21;LA1;18:23;DERECHO A SOĂAR;390.000;4.3%;
2019-03-21;LA1;19:14;ESPAĂA DIRECTO;558.000;5.2%;
2019-03-21;LA1;20:31;AQUI LA TIERRA;1.405.000;10%;
2019-03-21;LA1;21:04;TELEDIARIO 2;1.805.000;10.6%;
2019-03-21;LA1;22:13;LO SIGUIENTE;1.101.000;6%;
2019-03-21;LA1;22:44;CUENTAME COMO PASO / EL AĂO DE LA SERPIENTE;2.202.000;14.2%;
2019-03-21;LA1;00:07;D.REG(OCHENTAME...OTRA VEZ) / HIMNOS DE LOS 80(VOL.3);836.000;9.7%;
2019-03-21;LA1;00:07;OCHENTAME...OTRA VEZ / HIMNOS DE LOS 80(VOL.3);794.000;9.2%;
2019-03-21;LA1;00:07;EL DEBAT DE LA 1;38.000;0.5%;
2019-03-21;LA1;01:04;D.REG(OCHENTAME...OTRA VEZ) / MODERNO...PERO CAĂI;294.000;6%;
2019-03-21;LA1;01:04;OCHENTAME...OTRA VEZ / MODERNO...PERO CAĂI;272.000;5.6%;
2019-03-21;LA1;01:34;OCHENTAME...OTRA VEZ / HIMNOS DE LOS 80(VOL.3);6.000;0.2%;
2019-03-21;LA1;02:03;LA NOCHE EN 24H:AVANCE;115.000;4.4%;
2019-03-21;LA1;02:03;D.REG(LA NOCHE EN 24H:AVANCE);115.000;4.4%;
2019-03-22;LA1;06:30;TELEDIARIO MATINAL;195.000;14%;
2019-03-22;LA1;08:26;LOS DESAYUNOS DE TVE / SIMON MANLEY;252.000;10.8%;
2019-03-22;LA1;10:01;LA MAĂANA;231.000;7.2%;
2019-03-22;LA1;13:22;HACER DE COMER / BIZCOCHO DE CEREZAS;305.000;5.3%;
2019-03-22;LA1;13:54;CERCA DE TI;8.000;0.1%;
2019-03-22;LA1;13:59;D.REG(INFORMATIVO TERRITORIAL 1);524.000;6.4%;
2019-03-22;LA1;13:59;INFORMATIVO TERRITORIAL 1;516.000;6.3%;
2019-03-22;LA1;13:59;INFORMATIVO MADRID 1;63.000;0.8%;
2019-03-22;LA1;13:59;NOTICIAS MURCIA 1;21.000;0.3%;
2019-03-22;LA1;13:59;PANORAMA REGIONAL 1;7.000;0.1%;
2019-03-22;LA1;13:59;FLASH MODA MONOGRAFICOS / ALEXANDER MCQUEEN:BELLEZA SALVAJE;0;0%;
2019-03-22;LA1;13:59;L'INFORMATIU COMUNITAT VALENCIANA 1;98.000;1.2%;
2019-03-22;LA1;13:59;NOTICIAS CASTILLA Y LEON 1;48.000;0.6%;
2019-03-22;LA1;13:59;NOTICIAS ANDALUCIA 1;45.000;0.5%;
2019-03-22;LA1;13:59;PROGRAMACION REGIONAL;41.000;0.5%;
2019-03-22;LA1;13:59;NOTICIAS CASTILLA-LA MANCHA 1;34.000;0.4%;
2019-03-22;LA1;13:59;NOTICIAS ARAGON 1;18.000;0.2%;
2019-03-22;LA1;13:59;INFORMATIU BALEAR 1;16.000;0.2%;
2019-03-22;LA1;13:59;TELENORTE 1;35.000;0.4%;
2019-03-22;LA1;13:59;TELEXORNAL 1;19.000;0.2%;
2019-03-22;LA1;13:59;L'INFORMATIU MIGDIA 1;68.000;0.8%;
2019-03-22;LA1;14:31;CORAZON;776.000;7.4%;
2019-03-22;LA1;15:04;TELEDIARIO 1;1.500.000;12.7%;
2019-03-22;LA1;16:00;TELECANARIAS 1;30.000;0.3%;
2019-03-22;LA1;16:30;SERVIR Y PROTEGER;1.026.000;9.7%;
2019-03-22;LA1;17:30;ACACIAS 38;823.000;8.6%;
2019-03-22;LA1;18:27;DERECHO A SOĂAR;366.000;4.1%;
2019-03-22;LA1;19:19;ESPAĂA DIRECTO;631.000;6.5%;
2019-03-22;LA1;20:31;AQUI LA TIERRA;1.187.000;9.9%;
2019-03-22;LA1;21:04;TELEDIARIO 2;1.479.000;10%;
2019-03-22;LA1;22:14;LA MEJOR CANCION JAMAS CANTADA;1.351.000;9.7%;
2019-03-22;LA1;00:42;D.REG(CINE) / SOSPECHOSO;363.000;6.8%;
2019-03-22;LA1;00:42;CINE / SOSPECHOSO;335.000;6.3%;
2019-03-22;LA1;00:42;ARA I AQUI / CAL ENDURIR LES PENES PER ALS CULPABLES D'ACCIDENTS?;29.000;0.5%;
2019-03-23;LA1;No disponemos de datos de audiencias para la fecha solicitada.;
2019-03-21;LA2;07:00;ZOOM TENDENCIAS;10.000;1%;
2019-03-21;LA2;07:30;INGLES ONLINE TVE;15.000;0.9%;
2019-03-21;LA2;08:00;COLOMBIA SALVAJE / LA SERRANIA DE LA MACARENA,UN TESORO ESCONDIDO DE LA NATURALEZA;26.000;1.1%;
2019-03-21;LA2;09:02;PUEBLO DE DIOS / 60 AĂOS CONTRA EL HAMBRE;18.000;0.8%;
2019-03-21;LA2;09:30;AQUI HAY TRABAJO;27.000;1.1%;
2019-03-21;LA2;09:56;LA AVENTURA DEL SABER;42.000;1.6%;
2019-03-21;LA2;10:56;DOCUMENTA2;65.000;2.3%;
2019-03-21;LA2;10:56;LOS PRIMEROS HOMBRES / AUSTRALIA;65.000;2.3%;
2019-03-21;LA2;11:53;50 AĂOS DE... / UNA PERIODISTA DE A PIE;76.000;2.4%;
2019-03-21;LA2;12:31;MAĂANAS DE CINE / DOS VECES JUDAS;214.000;4.1%;
2019-03-21;LA2;14:04;S.O.S ALIMENTOS,KARRA AL RESCATE / BADAJOZ;138.000;1.4%;
2019-03-21;LA2;14:50;AUSTRALIA:GUIA PARA EL VIAJERO DEL TIEMPO / LA GRAN ISLA;244.000;2.1%;
2019-03-21;LA2;15:45;SABER Y GANAR;907.000;7.8%;
2019-03-21;LA2;16:31;GRANDES DOCUMENTALES;494.000;4.9%;
2019-03-21;LA2;16:31;BIOGEOMETRIA;555.000;5.3%;
2019-03-21;LA2;17:19;EL VERDADERO CLUB DE LA LUCHA;436.000;4.6%;
2019-03-21;LA2;18:09;PROGRAMA INESPERAT;3.000;0%;
2019-03-21;LA2;18:11;D.REG(DOCUMENTA2);175.000;1.9%;
2019-03-21;LA2;18:11;DOCUMENTA2;173.000;1.9%;
2019-03-21;LA2;18:12;D.REG(OPERACION SECRETA PONTIFEX:EL VATICANO DURANTE LA GUE) / LOS DOSSIERES SECRETOS DEL VATICANO;175.000;1.9%;
2019-03-21;LA2;18:12;OPERACION SECRETA PONTIFEX:EL VATICANO DURANTE LA GUERRA FRIA / LOS DOSSIERES SECRETOS DEL VATICANO;173.000;1.9%;
2019-03-21;LA2;19:07;LAS RECETAS DE JULIE / EL VALLE DE AURE;229.000;2.3%;
